sex,age,citizen,educd,region,n
male,2,born abroad of american parents,n/a,new england division,2
male,2,born abroad of american parents,n/a,middle atlantic division,11
male,2,born abroad of american parents,n/a,east north central div,7
male,2,born abroad of american parents,n/a,west north central div,2
male,2,born abroad of american parents,n/a,south atlantic division,19
male,2,born abroad of american parents,n/a,east south central div,4
male,2,born abroad of american parents,n/a,west south central div,13
male,2,born abroad of american parents,n/a,mountain division,9
male,2,born abroad of american parents,n/a,pacific division,43
male,2,naturalized citizen,n/a,middle atlantic division,4
male,2,naturalized citizen,n/a,east north central div,1
male,2,naturalized citizen,n/a,west north central div,1
male,2,naturalized citizen,n/a,south atlantic division,4
male,2,naturalized citizen,n/a,pacific division,7
male,3,born abroad of american parents,n/a,new england division,5
male,3,born abroad of american parents,n/a,middle atlantic division,17
male,3,born abroad of american parents,n/a,east north central div,14
male,3,born abroad of american parents,n/a,west north central div,4
male,3,born abroad of american parents,n/a,south atlantic division,28
male,3,born abroad of american parents,n/a,east south central div,2
male,3,born abroad of american parents,n/a,west south central div,14
male,3,born abroad of american parents,n/a,mountain division,9
male,3,born abroad of american parents,n/a,pacific division,45
male,3,naturalized citizen,n/a,new england division,1
male,3,naturalized citizen,n/a,middle atlantic division,8
male,3,naturalized citizen,n/a,east north central div,2
male,3,naturalized citizen,n/a,west north central div,1
male,3,naturalized citizen,n/a,south atlantic division,6
male,3,naturalized citizen,n/a,west south central div,5
male,3,naturalized citizen,n/a,mountain division,1
male,3,naturalized citizen,n/a,pacific division,9
male,4,born abroad of american parents,no schooling completed,new england division,3
male,4,born abroad of american parents,no schooling completed,middle atlantic division,12
male,4,born abroad of american parents,no schooling completed,east north central div,17
male,4,born abroad of american parents,no schooling completed,west north central div,7
male,4,born abroad of american parents,no schooling completed,south atlantic division,20
male,4,born abroad of american parents,no schooling completed,east south central div,1
male,4,born abroad of american parents,no schooling completed,west south central div,7
male,4,born abroad of american parents,no schooling completed,mountain division,7
male,4,born abroad of american parents,no schooling completed,pacific division,29
male,4,born abroad of american parents,"nursery school, preschool",new england division,1
male,4,born abroad of american parents,"nursery school, preschool",middle atlantic division,5
male,4,born abroad of american parents,"nursery school, preschool",east north central div,2
male,4,born abroad of american parents,"nursery school, preschool",west north central div,1
male,4,born abroad of american parents,"nursery school, preschool",south atlantic division,9
male,4,born abroad of american parents,"nursery school, preschool",east south central div,1
male,4,born abroad of american parents,"nursery school, preschool",west south central div,5
male,4,born abroad of american parents,"nursery school, preschool",mountain division,1
male,4,born abroad of american parents,"nursery school, preschool",pacific division,10
male,4,born abroad of american parents,kindergarten,east north central div,1
